,Slow drift [mmol/(lh)],drift start,drift end
before exercise,0.3533891850723579,2024-07-03 11:11:00,2024-07-03 12:06:00
after exercise,1.2238935151793322,2024-07-03 12:51:00,2024-07-03 13:38:00
